prov,fecha,casos_tot,dup
Buenos_Aires,2020-03-22,60,1.6221570407657695
CABA,2020-03-22,91,2.5749796661066986
Catamarca,2020-03-22,0,NA
Chaco,2020-03-22,24,3.593744036053282
Chubut,2020-03-22,0,NA
Cordoba,2020-03-22,23,1.3755218899359989
Corrientes,2020-03-22,1,NA
Entre_Rios,2020-03-22,5,2.165789682962692
Formosa,2020-03-22,0,NA
Jujuy,2020-03-22,1,100
La_Pampa,2020-03-22,0,NA
La_Rioja,2020-03-22,0,NA
Mendoza,2020-03-22,5,NA
Misiones,2020-03-22,1,NA
Neuquen,2020-03-22,2,NA
Rio_Negro,2020-03-22,4,3.261516867155557
Salta,2020-03-22,1,100
San_Juan,2020-03-22,0,NA
San_Luis,2020-03-22,1,100
Santa_Cruz,2020-03-22,1,100
Santa_Fe,2020-03-22,3,1.5773243839286437
Santiago_del_Estero,2020-03-22,1,NA
Tierra_del_fuego,2020-03-22,6,100
Tucuman,2020-03-22,7,1.0613384908902448
Buenos_Aires,2020-03-23,65,1.872781269553519
CABA,2020-03-23,102,2.7379417544659663
Catamarca,2020-03-23,0,NA
Chaco,2020-03-23,28,3.1530924393130504
Chubut,2020-03-23,0,NA
Cordoba,2020-03-23,26,1.4879414681135805
Corrientes,2020-03-23,1,100
Entre_Rios,2020-03-23,5,2.5613890470003295
Formosa,2020-03-23,0,NA
Jujuy,2020-03-23,1,100
La_Pampa,2020-03-23,0,NA
La_Rioja,2020-03-23,0,NA
Mendoza,2020-03-23,5,NA
Misiones,2020-03-23,1,NA
Neuquen,2020-03-23,2,100
Rio_Negro,2020-03-23,4,5.170785983241842
Salta,2020-03-23,1,100
San_Juan,2020-03-23,0,NA
San_Luis,2020-03-23,1,100
Santa_Cruz,2020-03-23,1,100
Santa_Fe,2020-03-23,16,1.0433008996381177
Santiago_del_Estero,2020-03-23,1,100
Tierra_del_fuego,2020-03-23,6,3.0198754991734087
Tucuman,2020-03-23,7,1.1873572903600744
Buenos_Aires,2020-03-24,95,2.7438832605842456
CABA,2020-03-24,132,2.949328909790896
Catamarca,2020-03-24,0,NA
Chaco,2020-03-24,37,2.88230455338596
Chubut,2020-03-24,0,NA
Cordoba,2020-03-24,33,1.7864685641680327
Corrientes,2020-03-24,1,100
Entre_Rios,2020-03-24,5,100
Formosa,2020-03-24,0,NA
Jujuy,2020-03-24,1,100
La_Pampa,2020-03-24,1,NA
La_Rioja,2020-03-24,0,NA
Mendoza,2020-03-24,5,100
Misiones,2020-03-24,1,NA
Neuquen,2020-03-24,3,100
Rio_Negro,2020-03-24,4,100
Salta,2020-03-24,1,100
San_Juan,2020-03-24,0,NA
San_Luis,2020-03-24,1,100
Santa_Cruz,2020-03-24,2,100
Santa_Fe,2020-03-24,19,1.0529597360748062
Santiago_del_Estero,2020-03-24,1,100
Tierra_del_fuego,2020-03-24,10,2.514433457322703
Tucuman,2020-03-24,7,1.4574629390186933
Buenos_Aires,2020-03-25,125,2.8567665485888782
CABA,2020-03-25,153,3.1377517438752918
Catamarca,2020-03-25,0,NA
Chaco,2020-03-25,49,2.7204790770453533
Chubut,2020-03-25,0,NA
Cordoba,2020-03-25,48,2.2992302930961386
Corrientes,2020-03-25,1,100
Entre_Rios,2020-03-25,8,100
Formosa,2020-03-25,0,NA
Jujuy,2020-03-25,1,100
La_Pampa,2020-03-25,1,NA
La_Rioja,2020-03-25,0,NA
Mendoza,2020-03-25,6,100
Misiones,2020-03-25,1,100
Neuquen,2020-03-25,4,100
Rio_Negro,2020-03-25,4,100
Salta,2020-03-25,1,100
San_Juan,2020-03-25,0,NA
San_Luis,2020-03-25,5,100
Santa_Cruz,2020-03-25,7,100
Santa_Fe,2020-03-25,41,1.0376693027780317
Santiago_del_Estero,2020-03-25,1,100
Tierra_del_fuego,2020-03-25,11,2.5276289598518002
Tucuman,2020-03-25,9,1.653689166654189
Buenos_Aires,2020-03-26,152,2.9505571331893052
CABA,2020-03-26,183,3.7107730438497595
Catamarca,2020-03-26,0,NA
Chaco,2020-03-26,52,2.7929014157217273
Chubut,2020-03-26,0,NA
Cordoba,2020-03-26,52,2.6415093661706393
Corrientes,2020-03-26,1,100
Entre_Rios,2020-03-26,8,100
Formosa,2020-03-26,0,NA
Jujuy,2020-03-26,3,100
La_Pampa,2020-03-26,1,NA
La_Rioja,2020-03-26,0,NA
Mendoza,2020-03-26,7,100
Misiones,2020-03-26,1,100
Neuquen,2020-03-26,7,100
Rio_Negro,2020-03-26,4,100
